,tether_open,time,tether_close,btc_open,btc_close,tether_peg,tether_change,btc_change,btc change/tether change,btc_direction,tether_direction,btc_direction_limit,tether_direction_limit
0,1.01,2018-12-30,1.008,3797.06,3896.21,0.008999999999999897,-0.19821605550049576,2.5775775450491167,-13.00387871477278,1,-1,1,0
1,1.008,2018-12-31,0.9991,3896.21,3747.39,0.003549999999999942,-0.8868516765482556,-3.893976660212469,4.390786828490129,-1,-1,-1,0
2,0.9991,2019-01-01,1.005,3747.39,3880.15,0.0020499999999998852,0.5887929744024656,3.481069912448843,5.912213738592235,1,1,1,0
3,1.005,2019-01-02,1.007,3880.15,3961.01,0.005999999999999783,0.1988071570576543,2.0624499436307926,10.374123216462875,1,1,1,0
4,1.007,2019-01-03,1.005,3961.01,3835.86,0.005999999999999783,-0.1988071570576543,-3.2102625797275084,16.14762077602935,-1,-1,-1,0
5,1.005,2019-01-04,1.006,3835.86,3874.06,0.00550000000000006,0.09945300845351683,0.9909311640068851,9.963812854088117,1,1,0,0
6,1.006,2019-01-05,1.005,3874.06,3855.39,0.00550000000000006,-0.09945300845351683,-0.48308741242908804,4.857443931973937,-1,-1,0,0
7,1.005,2019-01-06,1.011,3855.39,4102.85,0.008000000000000007,0.5952380952380957,6.218962986791062,10.447857817808975,1,1,1,0
8,1.011,2019-01-07,1.006,4102.85,4050.4,0.008499999999999952,-0.4957858205255224,-1.2866035016711195,2.5950792628707036,-1,-1,-1,0
9,1.006,2019-01-08,1.006,4050.4,4040.75,0.006000000000000005,0.0,-0.2385322234787414,-inf,-1,0,0,0
10,1.006,2019-01-09,1.007,4040.75,4048.34,0.00649999999999995,0.09935419771484252,0.18766016943809863,1.8887996053946705,1,1,0,0
11,1.007,2019-01-10,1.01,4048.34,3668.15,0.008499999999999952,0.29747149231533104,-9.85396209934828,-33.125735923974545,-1,1,-1,0
12,1.01,2019-01-11,1.008,3668.15,3669.2,0.008999999999999897,-0.19821605550049576,0.02862068730535485,-0.14439136745551506,1,-1,0,0
13,1.008,2019-01-12,1.008,3669.2,3664.38,0.008000000000000007,0.0,-0.13145012395036829,-inf,-1,0,0,0
14,1.008,2019-01-13,1.008,3664.38,3551.24,0.008000000000000007,0.0,-3.1359744554175615,-inf,-1,0,-1,0
15,1.008,2019-01-14,1.009,3551.24,3703.9,0.008499999999999952,0.09915716410509567,4.2083267862508595,42.44097563934459,1,1,1,0
16,1.009,2019-01-15,1.006,3703.9,3621.24,0.00749999999999984,-0.29776674937964187,-2.256885192637965,7.579372771942773,-1,-1,-1,0
17,1.006,2019-01-16,1.003,3621.24,3643.99,0.0044999999999999485,-0.29865604778497895,0.626270606711694,-2.096962748139576,1,-1,0,0
18,1.003,2019-01-17,1.005,3643.99,3685.3,0.0040000000000000036,0.19920318725099617,1.1272578926471841,5.65883462108886,1,1,1,0
19,1.005,2019-01-18,1.002,3685.3,3648.05,0.0034999999999998366,-0.298953662182351,-1.015906782030041,3.398208185890609,-1,-1,-1,0
20,1.002,2019-01-19,1.004,3648.05,3729.78,0.0030000000000001137,0.1994017946161517,2.2155566067529344,11.111016382865957,1,1,1,0
21,1.004,2019-01-20,1.0,3729.78,3567.73,0.0020000000000000018,-0.39920159680638756,-4.441240916422181,11.125308495637555,-1,-1,-1,0
22,1.0,2019-01-21,1.002,3567.73,3571.92,0.0009999999999998899,0.19980019980020003,0.1173727003424553,0.5874503652139881,1,1,0,0
23,1.002,2019-01-22,1.001,3571.92,3602.04,0.0015000000000000568,-0.09985022466301667,0.8397035946673773,-8.409631500592843,1,-1,0,0
