,tether_open,time,tether_close,btc_open,btc_close,tether_peg,tether_change,btc_change,btc change/tether change,btc_direction,tether_direction,btc_direction_limit,tether_direction_limit,btc_direction_limit_3,tether_peg_factor
0,0.0,2018-10-24,0.0,6470.63,6476.25,-1.0,,0.08681628315084237,,1,-1,0,0,0,-1.0
1,0.0,2018-10-25,0.0,6476.52,6462.77,-1.0,,-0.21253098122076247,,-1,-1,0,0,0,-1.0
2,0.0,2018-10-26,0.0,6462.77,6457.21,-1.0,,-0.08606824468769148,,-1,-1,0,0,0,-1.0
3,0.0,2018-10-27,0.0,6457.21,6470.17,-1.0,,0.20050466529180755,,1,-1,0,0,0,-1.0
4,0.0,2018-10-28,0.0,6470.17,6470.74,-1.0,,0.008809272300011498,,1,-1,0,0,0,-1.0
5,0.0,2018-10-29,0.0,6470.74,6313.91,-1.0,,-2.453410926384374,,-1,-1,-1,0,0,-1.0
6,0.0,2018-10-30,0.0,6314.38,6309.11,-1.0,,-0.08349513486366189,,-1,-1,0,0,0,-1.0
7,0.0,2018-10-31,0.0,6309.11,6342.61,-1.0,,0.5295722636922096,,1,-1,0,0,0,-1.0
8,0.0,2018-11-01,0.0,6342.81,6381.3,-1.0,,0.6049931979525449,,1,-1,0,0,0,-1.0
9,0.0,2018-11-02,0.0,6381.3,6394.66,-1.0,,0.20914279631432273,,1,-1,0,0,0,-1.0
10,0.0,2018-11-03,0.0,6394.65,6376.32,-1.0,,-0.28705728695627547,,-1,-1,0,0,0,-1.0
11,0.0,2018-11-04,0.0,6376.55,6467.05,-1.0,,1.4092622006291071,,1,-1,1,0,0,-1.0
12,0.0,2018-11-05,0.0,6467.05,6433.74,-1.0,,-0.5164024838789004,,-1,-1,0,0,0,-1.0
13,0.0,2018-11-06,0.0,6433.53,6479.72,-1.0,,0.7153892319904053,,1,-1,0,0,0,-1.0
14,0.0,2018-11-07,0.0,6479.72,6529.68,-1.0,,0.7680600181407294,,1,-1,0,0,0,-1.0
15,0.0,2018-11-08,0.0,6530.94,6446.06,-1.0,,-1.308160591816278,,-1,-1,-1,0,0,-1.0
16,0.0,2018-11-09,0.0,6446.06,6377.99,-1.0,,-1.0615991048069935,,-1,-1,-1,0,0,-1.0
17,0.0,2018-11-10,0.0,6377.99,6396.37,-1.0,,0.28776392711650695,,1,-1,0,0,0,-1.0
18,0.0,2018-11-11,0.0,6396.39,6408.18,-1.0,,0.18415300162363848,,1,-1,0,0,0,-1.0
